ID_PROVINCIA;PROVINCIAS;2005_PRIVADO;2006_PRIVADO;2007_PRIVADO;2008_PRIVADO;2009_PRIVADO;2010_PRIVADO;2011_PRIVADO;2012_PRIVADO;2013_PRIVADO;2014_PRIVADO;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
34;PALENCIA;410;410;410;431;425;425;425;425;425;347;173471;173153;173281;173454;173306;172510;171668;170713;168955;167609;2,36;2,37;2,37;2,48;2,45;2,46;2,48;2,49;2,52;2,07;0,18%;-0,07%;5,02%;-1,31%;0,46%;0,49%;0,56%;1,04%;-17,70%
35;LAS PALMAS;1547;1724;1380;1403;1411;1416;1406;1406;1378;1397;1011928;1024186;1042131;1070032;1083502;1090605;1096980;1100813;1103850;1100027;1,53;1,68;1,32;1,31;1,30;1,30;1,28;1,28;1,25;1,27;10,11%;-21,33%;-0,98%;-0,68%;-0,30%;-1,28%;-0,35%;-2,26%;1,73%
36;PONTEVEDRA;1327;1402;1408;1436;1442;1343;1305;1305;1305;1304;938311;943117;947639;953400;959764;962472;963511;958428;955050;950919;1,41;1,49;1,49;1,51;1,50;1,40;1,35;1,36;1,37;1,37;5,11%;-0,05%;1,37%;-0,25%;-7,13%;-2,93%;0,53%;0,35%;0,36%
37;SALAMANCA;102;102;102;118;118;118;118;118;118;118;352414;353110;351326;353404;354608;353619;352986;350564;345548;342459;0,29;0,29;0,29;0,33;0,33;0,33;0,33;0,34;0,34;0,34;-0,20%;0,51%;15,01%;-0,34%;0,28%;0,18%;0,69%;1,45%;0,90%
38;SANTA CRUZ DE TENERIFE;1603;1558;1427;1372;1348;1343;1350;1285;1285;1278;956352;971647;983820;1005936;1020490;1027914;1029789;1017531;1014829;1004788;1,68;1,60;1,45;1,36;1,32;1,31;1,31;1,26;1,27;1,27;-4,34%;-9,54%;-5,97%;-3,15%;-1,09%;0,34%;-3,67%;0,27%;0,45%
39;CANTABRIA;705;721;709;709;708;676;680;667;684;682;562309;568091;572824;582138;589235;592250;593121;593861;591888;588656;1,25;1,27;1,24;1,22;1,20;1,14;1,15;1,12;1,16;1,16;1,23%;-2,48%;-1,60%;-1,34%;-5,01%;0,44%;-2,03%;2,89%;0,26%
40;SEGOVIA;69;50;51;51;51;51;50;50;50;50;155517;156598;159322;163899;164854;164268;164169;163701;161702;159303;0,44;0,32;0,32;0,31;0,31;0,31;0,30;0,31;0,31;0,31;-28,04%;0,26%;-2,79%;-0,58%;0,36%;-1,90%;0,29%;1,24%;1,51%
41;SEVILLA;1005;1320;1411;1338;1443;1407;1377;1377;1373;1390;1813908;1835077;1849268;1875462;1900224;1917097;1928962;1938974;1942155;1941355;0,55;0,72;0,76;0,71;0,76;0,73;0,71;0,71;0,71;0,72;29,83%;6,07%;-6,50%;6,44%;-3,35%;-2,73%;-0,52%;-0,45%;1,28%
42;SORIA;8;8;0;0;0;0;0;0;0;0;92773;93503;93593;94646;95101;95258;95223;94522;93291;92221;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-0,78%;-100,00%;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
43;TARRAGONA;1992;1897;2032;1970;1970;1970;1964;1976;1976;2001;704907;730466;757795;788895;803301;808420;811401;814199;810178;800962;2,83;2,60;2,68;2,50;2,45;2,44;2,42;2,43;2,44;2,50;-8,10%;3,25%;-6,87%;-1,79%;-0,63%;-0,67%;0,27%;0,50%;2,43%
44;TERUEL;0;0;0;0;0;0;0;0;0;0;141091;142160;144046;146324;146751;145277;144607;143728;142183;140365;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
45;TOLEDO;174;114;112;156;156;156;156;155;151;149;598256;615618;639621;670203;689635;697959;707242;711228;706407;699136;0,29;0,19;0,18;0,23;0,23;0,22;0,22;0,22;0,21;0,21;-36,33%;-5,44%;32,93%;-2,82%;-1,19%;-1,31%;-1,20%;-1,92%;-0,30%
46;VALENCIA;1463;1476;1463;1383;1426;1409;1409;1377;1357;1357;2416628;2463592;2486483;2543209;2575362;2581147;2578719;2580792;2566474;2548898;0,61;0,60;0,59;0,54;0,55;0,55;0,55;0,53;0,53;0,53;-1,03%;-1,79%;-7,58%;1,82%;-1,41%;0,09%;-2,35%;-0,90%;0,69%
47;VALLADOLID;310;320;295;383;385;389;449;507;507;507;514674;519249;521661;529019;532575;533640;534874;534280;532284;529157;0,60;0,62;0,57;0,72;0,72;0,73;0,84;0,95;0,95;0,96;2,32%;-8,24%;28,02%;-0,15%;0,84%;15,16%;13,04%;0,37%;0,59%
48;VIZCAYA;751;734;726;725;719;822;745;911;770;775;1136181;1139863;1141457;1146421;1152658;1153724;1155772;1158439;1156447;1151905;0,66;0,64;0,64;0,63;0,62;0,71;0,64;0,79;0,67;0,67;-2,58%;-1,23%;-0,57%;-1,36%;14,22%;-9,53%;22,00%;-15,33%;1,05%
49;ZAMORA;30;20;73;72;74;66;44;44;44;44;198045;197492;197237;197221;195665;194214;193383;191612;188270;185432;0,15;0,10;0,37;0,37;0,38;0,34;0,23;0,23;0,23;0,24;-33,15%;265,47%;-1,36%;3,60%;-10,14%;-33,05%;0,92%;1,78%;1,53%
50;ZARAGOZA;925;927;981;990;996;996;971;961;922;924;912072;917288;932502;955323;970313;973252;973325;978130;978638;960111;1,01;1,01;1,05;1,04;1,03;1,02;1,00;0,98;0,94;0,96;-0,35%;4,10%;-1,49%;-0,95%;-0,30%;-2,52%;-1,52%;-4,11%;2,15%
51;CEUTA;163;163;163;163;163;163;0;0;0;0;75276;75861;76603;77389;78674;80579;82376;84018;84180;84963;2,17;2,15;2,13;2,11;2,07;2,02;0,00;0,00;0,00;0,00;-0,77%;-0,97%;-1,02%;-1,63%;-2,36%;-100,00%;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
52;MELILLA;0;0;0;0;0;0;0;0;0;0;65488;66871;69440;71448;73460;76034;78476;80802;83679;84509;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
