ID_PROVINCIA;PROVINCIAS;2005_PUBLICO;2006_PUBLICO;2007_PUBLICO;2008_PUBLICO;2009_PUBLICO;2010_PUBLICO;2011_PUBLICO;2012_PUBLICO;2013_PUBLICO;2014_PUBLICO;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
20;GUIPÚZCOA;1618;1618;1618;1608;1620;1612;1601;1622;1585;1542;688708;691895;694944;701056;705698;707263;709607;712097;713818;715148;2,35;2,34;2,33;2,29;2,30;2,28;2,26;2,28;2,22;2,16;-0,46%;-0,44%;-1,48%;0,08%;-0,71%;-1,01%;0,96%;-2,52%;-2,89%
21;HUELVA;1092;1049;1004;989;989;989;1015;1015;999;1009;483792;492174;497671;507915;513403;518081;521968;522862;520668;519229;2,26;2,13;2,02;1,95;1,93;1,91;1,94;1,94;1,92;1,94;-5,57%;-5,35%;-3,48%;-1,07%;-0,90%;1,86%;-0,17%;-1,16%;1,28%
22;HUESCA;744;741;731;718;742;727;730;729;714;714;215864;218023;220107;225271;228409;228566;228361;227609;226329;224909;3,45;3,40;3,32;3,19;3,25;3,18;3,20;3,20;3,15;3,17;-1,39%;-2,28%;-4,03%;1,92%;-2,09%;0,50%;0,19%;-1,50%;0,63%
23;JAÉN;1447;1408;1413;1413;1439;1439;1485;1485;1375;1375;660284;662751;664742;667438;669782;670761;670600;670242;664916;659033;2,19;2,12;2,13;2,12;2,15;2,15;2,21;2,22;2,07;2,09;-3,06%;0,05%;-0,40%;1,48%;-0,15%;3,22%;0,05%;-6,67%;0,89%
24;LEÓN;1419;1381;1401;1401;1401;1449;1449;1449;1484;1484;495902;498223;497387;500200;500169;499284;497799;494451;489752;484694;2,86;2,77;2,82;2,80;2,80;2,90;2,91;2,93;3,03;3,06;-3,13%;1,62%;-0,56%;0,01%;3,61%;0,30%;0,68%;3,40%;1,04%
25;LLEIDA;740;740;740;740;748;748;818;818;818;818;399439;407496;414015;426872;436402;439768;442308;443032;440915;438001;1,85;1,82;1,79;1,73;1,71;1,70;1,85;1,85;1,86;1,87;-1,98%;-1,57%;-3,01%;-1,13%;-0,77%;8,73%;-0,16%;0,48%;0,67%
26;LA RIOJA;849;831;852;852;970;807;804;834;909;909;301084;306377;308968;317501;321702;322415;322955;323609;322027;319002;2,82;2,71;2,76;2,68;3,02;2,50;2,49;2,58;2,82;2,85;-3,81%;1,67%;-2,69%;12,36%;-16,99%;-0,54%;3,52%;9,53%;0,95%
27;LUGO;1242;1211;1211;1215;1216;1336;1336;1136;1136;1028;357625;356595;355176;355549;355195;353504;351530;348902;346005;342748;3,47;3,40;3,41;3,42;3,42;3,78;3,80;3,26;3,28;3,00;-2,21%;0,40%;0,23%;0,18%;10,39%;0,56%;-14,33%;0,84%;-8,65%
28;MADRID;13587;13613;13494;14678;14514;14062;14694;14792;14635;14541;5964143;6008183;6081689;6271638;6386932;6458684;6489680;6498560;6495551;6454440;2,28;2,27;2,22;2,34;2,27;2,18;2,26;2,28;2,25;2,25;-0,54%;-2,07%;5,48%;-2,90%;-4,19%;4,00%;0,53%;-1,02%;-0,01%
29;MALAGA;2705;2700;2614;2671;2671;2745;2891;2891;2521;2521;1453409;1491287;1517523;1563261;1593068;1609557;1625827;1641098;1652999;1621968;1,86;1,81;1,72;1,71;1,68;1,71;1,78;1,76;1,53;1,55;-2,72%;-4,86%;-0,81%;-1,87%;1,72%;4,26%;-0,93%;-13,43%;1,91%
30;MURCIA;3185;3323;3348;3136;3142;3163;3236;3244;3225;3261;1335792;1370306;1392117;1426109;1446520;1461979;1470069;1474449;1472049;1466818;2,38;2,43;2,40;2,20;2,17;2,16;2,20;2,20;2,19;2,22;1,70%;-0,83%;-8,56%;-1,22%;-0,40%;1,74%;-0,05%;-0,42%;1,48%
31;NAVARRA;1361;1360;1379;1374;1376;1369;1389;1435;1435;1405;593472;601874;605876;620377;630578;636924;642051;644566;644477;640790;2,29;2,26;2,28;2,21;2,18;2,15;2,16;2,23;2,23;2,19;-1,47%;0,73%;-2,69%;-1,47%;-1,50%;0,65%;2,91%;0,01%;-1,53%
32;OURENSE;1099;1100;1097;1092;1098;1073;1083;1083;1083;1019;339555;338671;336926;336099;335642;335219;333257;330257;326724;322293;3,24;3,25;3,26;3,25;3,27;3,20;3,25;3,28;3,31;3,16;0,35%;0,24%;-0,21%;0,69%;-2,15%;1,53%;0,91%;1,08%;-4,62%
33;ASTURIAS;3221;3220;3182;3167;3167;3132;3112;2983;2802;2761;1076635;1076896;1074862;1080138;1085289;1084341;1081487;1077360;1068165;1061756;2,99;2,99;2,96;2,93;2,92;2,89;2,88;2,77;2,62;2,60;-0,06%;-0,99%;-0,96%;-0,47%;-1,02%;-0,38%;-3,78%;-5,26%;-0,87%
34;PALENCIA;457;485;467;505;505;505;497;495;495;495;173471;173153;173281;173454;173306;172510;171668;170713;168955;167609;2,63;2,80;2,70;2,91;2,91;2,93;2,90;2,90;2,93;2,95;6,32%;-3,78%;8,03%;0,09%;0,46%;-1,10%;0,15%;1,04%;0,80%
