ID_PROVINCIA;PROVINCIAS;2005_TOTAL;2006_TOTAL;2007_TOTAL;2008_TOTAL;2009_TOTAL;2010_TOTAL;2011_TOTAL;2012_TOTAL;2013_TOTAL;2014_TOTAL;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
17;GIRONA;2808;2808;2808;2808;2794;2780;2911;2911;2890;2950;664506;687331;706185;731864;747782;753046;756810;761627;761632;756156;4,23;4,09;3,98;3,84;3,74;3,69;3,85;3,82;3,79;3,90;-3,32%;-2,67%;-3,51%;-2,62%;-1,20%;4,19%;-0,63%;-0,72%;2,82%
18;GRANADA;2493;2413;2400;2400;2386;2374;2415;2415;2216;2218;860898;876184;884099;901220;907428;918072;924550;922928;919319;919455;2,90;2,75;2,71;2,66;2,63;2,59;2,61;2,62;2,41;2,41;-4,90%;-1,43%;-1,90%;-1,26%;-1,66%;1,01%;0,18%;-7,88%;0,08%
19;GUADALAJARA;867;867;837;841;838;985;852;852;851;851;203737;213505;224076;237787;246151;251563;256461;259537;257723;255426;4,26;4,06;3,74;3,54;3,40;3,92;3,32;3,28;3,30;3,33;-4,58%;-8,01%;-5,32%;-3,74%;15,01%;-15,15%;-1,19%;0,59%;0,90%
20;GUIPÚZCOA;3231;3221;3202;3178;3189;3175;3143;3151;3107;3052;688708;691895;694944;701056;705698;707263;709607;712097;713818;715148;4,69;4,66;4,61;4,53;4,52;4,49;4,43;4,42;4,35;4,27;-0,77%;-1,03%;-1,61%;-0,31%;-0,66%;-1,33%;-0,10%;-1,63%;-1,95%
21;HUELVA;1329;1279;1234;1226;1228;1223;1249;1249;1249;1269;483792;492174;497671;507915;513403;518081;521968;522862;520668;519229;2,75;2,60;2,48;2,41;2,39;2,36;2,39;2,39;2,40;2,44;-5,40%;-4,58%;-2,65%;-0,91%;-1,31%;1,37%;-0,17%;0,42%;1,88%
22;HUESCA;784;781;771;758;782;767;770;769;754;754;215864;218023;220107;225271;228409;228566;228361;227609;226329;224909;3,63;3,58;3,50;3,36;3,42;3,36;3,37;3,38;3,33;3,35;-1,37%;-2,22%;-3,94%;1,75%;-1,99%;0,48%;0,20%;-1,40%;0,63%
23;JAÉN;1495;1433;1438;1455;1484;1484;1530;1530;1420;1414;660284;662751;664742;667438;669782;670761;670600;670242;664916;659033;2,26;2,16;2,16;2,18;2,22;2,21;2,28;2,28;2,14;2,15;-4,50%;0,05%;0,77%;1,64%;-0,15%;3,12%;0,05%;-6,45%;0,47%
24;LEÓN;2230;2173;2187;2163;2175;2156;2252;2252;2225;2233;495902;498223;497387;500200;500169;499284;497799;494451;489752;484694;4,50;4,36;4,40;4,32;4,35;4,32;4,52;4,55;4,54;4,61;-3,01%;0,81%;-1,65%;0,56%;-0,70%;4,76%;0,68%;-0,25%;1,41%
25;LLEIDA;1594;1594;1594;1594;1602;1602;1672;1649;1649;1674;399439;407496;414015;426872;436402;439768;442308;443032;440915;438001;3,99;3,91;3,85;3,73;3,67;3,64;3,78;3,72;3,74;3,82;-1,98%;-1,57%;-3,01%;-1,69%;-0,77%;3,77%;-1,54%;0,48%;2,19%
26;LA RIOJA;973;955;976;976;1094;931;928;960;1035;1035;301084;306377;308968;317501;321702;322415;322955;323609;322027;319002;3,23;3,12;3,16;3,07;3,40;2,89;2,87;2,97;3,21;3,24;-3,55%;1,34%;-2,69%;10,63%;-15,09%;-0,49%;3,24%;8,34%;0,95%
